City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
217,Nuevo Progreso,MX,2021-10-28 18:39:06,23.1667,-97.95,88.59,16,1,5.01
218,Puerto Quijarro,BO,2021-10-28 18:39:06,-17.7833,-57.7667,100.17,30,24,2.48
219,Cayenne,GF,2021-10-28 18:39:07,4.9333,-52.3333,87.84,75,100,7.0
220,Diffa,NE,2021-10-28 18:39:07,13.3154,12.6113,86.94,12,8,5.37
221,Zaozerne,UA,2021-10-28 18:39:07,45.1582,33.2787,47.95,70,100,5.84
222,Puerto Baquerizo Moreno,EC,2021-10-28 18:39:08,-0.9,-89.6,76.19,69,20,13.8
223,Mana,GF,2021-10-28 18:39:08,5.6592,-53.7767,84.25,68,93,10.13
224,Coquimbo,CL,2021-10-28 18:38:01,-29.9533,-71.3436,58.73,82,75,16.11
225,Lagoa,PT,2021-10-28 18:39:09,39.05,-27.9833,67.23,79,77,15.88
226,Cidreira,BR,2021-10-28 18:39:09,-30.1811,-50.2056,71.58,74,0,16.2
227,Zaragoza,ES,2021-10-28 18:36:31,41.6561,-0.8773,63.05,56,40,3.0
228,Saint-Pierre,RE,2021-10-28 18:39:09,-21.3393,55.4781,74.88,70,20,3.44
229,Lorengau,PG,2021-10-28 18:39:10,-2.0226,147.2712,81.27,78,100,4.85
230,Caravelas,BR,2021-10-28 18:39:10,-17.7125,-39.2481,79.23,58,5,9.33
231,Bandundu,CD,2021-10-28 18:39:10,-3.3167,17.3667,75.56,79,96,2.39
232,Amahai,ID,2021-10-28 18:39:11,-3.3333,128.9167,78.37,85,98,3.36
233,Richards Bay,ZA,2021-10-28 18:39:11,-28.783,32.0377,67.17,71,32,13.65
234,Novopokrovka,UA,2021-10-28 18:39:11,49.8425,36.5477,48.58,84,100,8.59
235,Olinda,BR,2021-10-28 18:39:12,-8.0089,-34.8553,83.93,61,40,14.97
236,Samana,DO,2021-10-28 18:39:12,19.2056,-69.3369,91.62,66,20,4.61
237,Urucui,BR,2021-10-28 18:39:12,-7.2294,-44.5561,100.8,19,18,7.65
238,Geraldton,AU,2021-10-28 18:39:13,-28.7667,114.6,48.61,81,5,10.36
239,Aykhal,RU,2021-10-28 18:39:13,66.0,111.5,6.78,94,100,20.33
240,Bethel,US,2021-10-28 18:39:13,41.3712,-73.414,59.09,68,90,0.0
241,Margate,GB,2021-10-28 18:39:14,51.3813,1.3862,59.31,80,57,5.99
242,High Rock,BS,2021-10-28 18:39:14,26.6208,-78.2833,86.02,74,100,17.36
243,Petropavlovsk-Kamchatskiy,RU,2021-10-28 18:39:14,53.0452,158.6483,28.99,93,75,2.24
244,Lukiv,UA,2021-10-28 18:39:15,51.0521,25.4006,50.18,90,12,2.68
245,Waddan,LY,2021-10-28 18:39:15,29.1614,16.139,72.95,40,99,12.41
246,Itapirapua,BR,2021-10-28 18:39:15,-15.8233,-50.6133,95.63,29,100,2.42
247,Batagay-Alyta,RU,2021-10-28 18:39:16,67.8006,130.4114,5.29,88,100,3.38
248,Waipawa,NZ,2021-10-28 18:39:16,-41.4122,175.5153,56.03,94,89,4.38
249,Panacan,PH,2021-10-28 18:39:16,9.2463,118.4082,79.0,84,86,10.67
250,Salinopolis,BR,2021-10-28 18:39:17,-0.6136,-47.3561,81.43,78,59,6.69
251,Pandan,PH,2021-10-28 18:39:17,14.0453,124.1694,79.29,85,75,16.69
252,Serebryanyy Bor,RU,2021-10-28 18:39:18,56.8,124.8,19.47,78,100,5.14
253,Samarai,PG,2021-10-28 18:39:18,-10.6167,150.6667,82.0,81,34,10.74
254,Chiscas,CO,2021-10-28 18:39:18,6.5524,-72.4998,65.26,78,65,3.67
255,Saint George,US,2021-10-28 18:36:43,37.1041,-113.5841,72.07,43,1,1.01
256,Caconda,AO,2021-10-28 18:39:19,-13.7333,15.0667,63.61,89,100,3.47
257,Orchard Homes,US,2021-10-28 18:39:19,46.8633,-114.0484,46.6,81,90,1.99
258,Salinas,US,2021-10-28 18:39:02,36.6777,-121.6555,76.96,58,1,13.8
259,Verkhoyansk,RU,2021-10-28 18:39:19,67.5447,133.385,10.63,93,100,2.93
260,Naze,JP,2021-10-28 18:39:19,28.3667,129.4833,66.18,62,5,5.75
261,Diapaga,BF,2021-10-28 18:39:20,12.0708,1.7889,89.74,31,98,3.06
262,Santa Branca,BR,2021-10-28 18:39:20,-23.3967,-45.8839,74.25,88,90,5.75
